datetime,T-1,T-2,T-3,T-4,T-6,T-7,T-9,T-10,T-11,T-21,T-22,T-23,T-24,T-25,T-26,T-27,T-29,T-30,T-31,T-32,T-33,T-34,T-35,T-36,T-37,T-38,T-39,T-40,T-41,T-42,T-43,T-44,T-45,T-46,T-47,T-48,T-51,T-52,T-53,L-1,L-2,L-3,L-4,L-6,L-7,L-9,L-10,L-11,L-21,L-22,L-23,L-24,L-25,L-26,L-27,L-29,L-30,L-31,L-32,L-33,L-34,L-35,L-36,L-37,L-38,L-39,L-40,L-41,L-42,L-43,L-44,L-45,L-46,L-47,L-48,L-51,L-52,L-53,H-1,H-2,H-3,H-4,H-6,H-7,H-9,H-10,H-11,H-21,H-22,H-23,H-24,H-25,H-26,H-27,H-29,H-30,H-31,H-32,H-33,H-34,H-35,H-36,H-37,H-38,H-39,H-40,H-41,H-42,H-43,H-44,H-45,H-46,H-47,H-48,H-51,H-52,H-53,V-1,V-2,V-3,V-4,V-6,V-7,V-9,V-10,V-11,V-21,V-22,V-23,V-24,V-25,V-26,V-27,V-29,V-30,V-31,V-32,V-33,V-34,V-35,V-36,V-37,V-38,V-39,V-40,V-41,V-42,V-43,V-44,V-45,V-46,V-47,V-48,V-51,V-52,V-53
2004-02-28 00:00:00,19.044641,19.44714,19.273773,19.642057,19.315466,19.25887,18.8614,18.843252,18.063274,18.952291,18.5576,19.237593,18.630592,18.339394,18.272327,19.178576,18.755415,17.912842,18.438107,18.343458,18.921982,18.317926,19.060877,18.551394,19.2548,18.416082,18.928041,18.56492,18.379065,17.73167,18.767319,17.529331,18.142868,18.21507,17.960447,17.877855,17.678238,17.514828,15.928057,43.726036,121.439995,48.83263,97.520004,115.44296,99.83069,104.88,61.492344,277.69662,108.741974,79.15916,224.83612,143.52,99.80253,121.44,79.070274,180.32,108.75167,143.93819,113.884254,101.534546,60.72,165.83742,79.12,232.10286,187.55525,155.62311,172.69398,382.72,478.39996,449.9904,97.57492,172.88412,114.08,655.04,114.08,139.65129,57.238922,19.215847,38.85449,39.524624,38.78937,39.210255,38.88135,39.049625,40.91531,40.917423,42.601246,38.328842,39.080853,38.206413,39.315968,39.88998,42.00943,39.321724,39.999462,42.5601,41.40503,40.76321,39.434658,41.506798,41.450848,42.644474,41.412212,39.31364,39.754147,39.66678,39.429676,40.686687,37.805702,40.92459,38.50046,38.92764,40.322803,39.66976,39.887234,40.714325,45.963085,2.6945674,2.6734776,2.684078,2.650875,2.6400807,2.6860185,2.7624283,2.679205,2.6050105,2.6933312,2.6572566,2.6875603,2.700493,2.6851315,2.682128,2.6974945,2.6821914,2.686926,2.6903389,2.6897676,2.6974182,2.6727135,2.6257205,2.6717198,2.692657,2.5838113,2.6868901,2.6897786,2.6714752,2.6785364,2.651194,2.6740706,2.6846793,2.5039217,2.6736057,2.69782,2.6793532,2.6512704,2.6561432
2004-02-28 02:00:00,18.543695,19.010975,18.773119,19.186031,18.844278,18.82922,18.42101,18.323921,17.238821,18.267984,17.880379,18.595066,17.92532,17.594046,17.601768,18.546032,18.188993,17.3998,17.939936,17.847624,18.468891,17.80084,18.638966,18.037996,18.875269,17.978888,18.500854,18.073011,17.880438,17.251081,18.28379,16.990442,17.587353,17.6546,17.430763,17.32965,17.093065,16.986267,15.338115,43.24,121.44,48.76,97.52,112.81104,98.38692,104.88,57.36,186.5907,97.52,77.7945,224.4448,139.2042,100.692406,117.12361,79.12,180.32,108.56,143.797,114.08,101.2,60.72,165.6,79.12,213.30113,182.24239,157.88388,172.83163,371.34134,462.05508,437.87567,97.52,167.15692,112.418365,654.22675,112.52111,136.65068,53.752533,7.5683017,38.977367,39.607563,38.90461,39.259533,39.06562,39.043285,40.98188,41.112682,43.742954,38.7331,39.453045,38.409943,39.75137,40.44084,42.511265,39.484165,40.002495,42.6954,41.48414,40.881413,39.47843,41.713272,41.58815,42.975033,41.559776,39.595272,40.0464,40.104675,39.98075,41.30772,38.387062,41.666836,39.31614,39.73433,41.124046,40.538303,40.856335,41.6537,46.998535,2.689573,2.667328,2.6790905,2.6511352,2.6360152,2.6809049,2.7556696,2.6745813,2.5873039,2.6859975,2.652447,2.6801274,2.6943944,2.6765113,2.6744223,2.6884286,2.6757157,2.6781678,2.682477,2.6805055,2.6921825,2.6661768,2.6211095,2.6635907,2.6883466,2.601196,2.6819553,2.6838384,2.6619515,2.67244,2.6524327,2.6687298,2.676027,2.5004613,2.6653266,2.69014,2.67278,2.6466362,2.6513233
2004-02-28 04:00:00,17.942293,18.336418,18.107548,18.587416,18.200905,18.218891,17.778744,17.677872,16.21237,17.3689,17.01799,17.816051,17.103462,16.82983,16.81143,17.78869,17.440323,16.738068,17.273748,17.215109,17.763432,17.186193,18.002356,17.40911,18.192394,17.355042,17.79763,17.399347,17.199955,16.62546,17.549145,16.286268,16.796574,16.829176,16.612274,16.54653,16.252867,16.124247,14.554178,43.24,121.439995,48.001526,97.430786,108.56,97.52,101.292,53.36,2.2969735,96.25877,75.44,219.08752,136.16,98.256,114.08,77.52425,178.1925,104.90852,140.69221,108.62065,99.451996,60.72,165.6,76.92492,202.30682,180.32,150.88,165.64488,366.6874,442.43323,426.7509,94.0833,165.6,108.588745,625.6,108.56,136.16,53.36,7.36,39.099575,40.013485,39.202164,39.304996,39.149963,39.112568,41.138435,41.310757,45.00049,39.392876,40.02788,38.68386,40.16552,41.055313,42.904648,39.79018,40.33297,43.009438,41.698254,41.12626,39.723846,41.888268,41.73032,43.22906,41.952892,39.977592,40.54666,40.572044,40.54684,41.801292,39.114357,42.418446,40.184067,40.621864,42.097237,41.449924,41.944073,42.872585,48.020695,2.6814418,2.655346,2.673032,2.6486433,2.6276865,2.6742477,2.748839,2.6661112,2.5547962,2.6744232,2.6492343,2.6690264,2.68312,2.6652029,2.6587253,2.6788542,2.665485,2.6694613,2.6733663,2.6726837,2.6828854,2.6541355,2.6126182,2.6533072,2.678383,2.605269,2.6726913,2.6750371,2.652037,2.6586907,2.6516402,2.6542804,2.6645916,2.4728134,2.6522307,2.67856,2.6571512,2.6350048,2.6436386
2004-02-28 06:00:00,17.720028,18.03503,17.826172,18.276232,17.974602,17.955147,17.56808,17.500689,15.982679,17.446554,17.26357,17.793295,17.278482,16.894764,16.889421,17.6509,17.343016,16.632177,17.18771,17.073112,17.571135,17.08365,17.834282,17.239098,17.92985,17.182384,17.553728,17.201996,17.024403,16.41032,17.33823,16.106056,16.55261,16.448738,16.350985,16.262093,16.053495,16.035606,14.4944315,148.64748,180.9694,123.84747,143.98798,299.95834,137.65616,433.34628,160.45265,218.62718,238.50667,384.62253,343.41904,317.02383,328.49823,330.54578,108.6351,270.18405,378.51923,305.8552,243.97334,255.83588,265.56418,384.20688,272.32,400.78918,342.06335,198.67282,370.42975,470.52103,561.5247,515.0434,434.84848,317.88354,190.60962,966.829,253.30077,208.53334,90.325134,274.5681,39.03836,40.100338,39.228165,39.293137,39.008522,38.974716,40.86056,41.05147,44.957745,38.90307,39.151257,38.38709,39.313198,40.404045,42.135002,39.46856,39.913193,42.577908,41.29989,40.852356,39.554573,41.475403,41.491108,42.99449,42.01436,39.92371,40.642315,40.527607,40.48759,41.963287,39.398796,42.5683,40.511074,41.217815,42.50525,41.87884,42.225063,42.887802,47.83322,2.6775799,2.6517797,2.6674726,2.6490452,2.6272368,2.670413,2.7468245,2.6606255,2.6125767,2.6701221,2.6639524,2.6627188,2.6810052,2.6600451,2.6314566,2.6759467,2.6577628,2.6624494,2.6684377,2.6664612,2.678941,2.6526768,2.6083896,2.6520145,2.6755962,2.6063917,2.6680934,2.6694798,2.650072,2.6543176,2.6513526,2.6519933,2.6572986,2.4659007,2.650782,2.6743991,2.6525867,2.6307302,2.639212
2004-02-28 08:00:00,20.977325,20.134739,20.03712,20.074617,19.082157,19.234894,18.878174,18.727083,17.255123,21.936935,22.999779,21.817099,23.457933,23.109318,23.217537,22.704924,21.935951,22.538511,21.810192,21.780647,21.062044,21.50051,21.714388,22.183601,21.3163,21.87223,21.287989,21.247238,20.258526,19.998394,21.045769,19.076494,18.87564,18.13043,18.78165,17.960423,17.750366,17.59833,15.923089,436.20752,419.52002,350.56567,301.49713,1050.5985,275.68243,1782.8185,474.76328,918.96094,419.09128,1005.56,573.01807,1242.5854,1664.4562,1429.1128,283.53195,713.92,1778.5156,1283.7102,1144.2634,889.7422,1366.2,1500.3248,1424.6016,1100.7917,1150.733,385.44592,1176.7205,1203.3352,997.28,860.01324,1498.1406,845.8924,428.8975,1829.3788,666.816,514.5824,251.28738,1376.0662,34.03621,36.966618,36.110527,36.80761,37.828358,37.533337,39.28532,39.70197,43.327133,32.35401,30.174984,32.751446,29.287964,30.37421,31.196997,31.45845,32.535316,31.782148,33.51147,32.62466,34.06724,33.194862,34.91067,34.20143,36.815735,31.773624,35.0069,33.57417,34.808456,35.614124,33.606815,37.73386,37.134632,39.17359,38.71828,39.822998,40.255974,40.962105,45.295956,2.7067773,2.672263,2.6875527,2.6690874,2.635177,2.680739,2.753324,2.6738532,2.654583,2.7121933,2.7257318,2.7024982,2.7366946,2.7176244,2.7235198,2.7218218,2.703477,2.7191603,2.7092366,2.7111313,2.7104025,2.6959069,2.6438103,2.6987839,2.7042754,2.6542554,2.7019975,2.7055979,2.6792061,2.6899602,2.6885288,2.6794195,2.6809003,2.4775107,2.669845,2.6875145,2.6683886,2.6436422,2.6479795
2004-02-28 10:00:00,24.061388,22.913843,23.03877,22.797125,21.675037,21.696753,21.274714,21.06975,19.635479,23.913958,24.677246,24.825151,25.800272,26.100927,26.219715,25.983957,25.791138,27.003975,25.469336,25.238506,24.418137,25.739643,25.465412,26.46989,25.52974,25.1719,24.634579,24.87169,23.970758,23.465704,24.67223,22.111448,22.14353,21.236902,22.002876,20.769745,20.492472,20.242651,18.63936,488.8267,500.04706,421.9331,383.91815,1310.6462,370.259,1847.36,664.35645,1457.8743,425.51422,629.4774,583.92883,1827.4968,1847.36,1832.64,307.40268,939.0561,1847.36,1827.5051,1342.464,981.7825,1847.36,1677.8569,1809.9539,1245.1018,1688.0101,441.6,1490.683,1644.8428,1257.8052,960.112,1844.7999,854.1039,425.92798,1847.36,681.3397,657.0026,333.02527,1845.6777,30.526417,34.122314,32.77594,34.11522,35.236897,35.169888,36.855663,37.41976,40.576786,31.031008,29.43956,29.493296,27.403439,27.72743,28.324902,27.841284,28.08341,26.674152,29.327765,28.526495,30.233185,28.218046,30.895447,29.52851,31.989834,28.50517,31.44778,29.55205,30.752361,31.97769,29.563759,34.862694,33.615105,36.00742,35.18482,37.037327,37.475513,38.438164,42.081844,2.739908,2.7023745,2.7172751,2.6980147,2.6563492,2.7026987,2.778082,2.6945388,2.6779642,2.7317164,2.741843,2.7332094,2.76391,2.7477212,2.7558339,2.7562492,2.7442315,2.765847,2.746911,2.7467914,2.7432058,2.74185,2.6830316,2.7463667,2.7480214,2.6909208,2.73872,2.7417624,2.7195113,2.7273216,2.7306974,2.7097523,2.7135022,2.513564,2.7024336,2.7118783,2.695637,2.666227,2.6703026
2004-02-28 12:00:00,24.7241,23.85314,24.093752,23.894447,22.921993,22.873032,22.730417,22.448502,21.026411,24.445469,24.876322,25.713306,25.950523,26.424976,26.214731,26.789078,26.561878,27.467411,26.107943,26.087725,25.211912,26.609932,26.360182,27.052872,26.544827,26.074873,25.729216,26.138111,25.41687,24.985538,25.788366,24.141283,23.63775,23.181618,23.78123,22.667051,22.603693,22.33964,21.109615,414.464,489.44,394.4677,376.57855,1182.2708,395.19836,1847.36,692.6076,1576.67,402.58835,646.82416,566.1341,1679.9302,1847.3601,1660.3293,348.96213,809.98737,1847.36,1706.6826,1013.32477,879.9748,1845.7244,1492.2957,1543.9783,1093.0869,1604.1991,430.38477,1380.2935,1503.2228,1264.3833,928.5867,1847.36,889.92615,448.88333,1847.36,723.9563,703.9431,337.07657,1847.36,30.507013,33.808544,31.959984,33.407745,34.261143,34.27093,35.382313,36.115437,38.98187,31.262373,30.410208,29.12553,28.339664,28.379988,29.447134,27.7534,27.894115,27.12234,29.265533,28.344751,29.970665,28.004988,30.4579,29.7064,31.320278,28.639608,30.861834,29.172005,30.071247,31.277779,29.36913,33.341663,32.82207,34.30678,33.92875,35.308506,35.282387,36.25019,38.953873,2.7483099,2.7154188,2.7302003,2.7100947,2.6716287,2.7160707,2.7925575,2.706747,2.6911964,2.7372818,2.7477472,2.7441459,2.7707155,2.7535129,2.7602482,2.7706823,2.752997,2.7759929,2.7536898,2.758327,2.7536552,2.753538,2.6951964,2.7561333,2.760814,2.7037976,2.7505465,2.75749,2.736826,2.7455928,2.7471676,2.730953,2.7293935,2.535385,2.7218976,2.7312672,2.7165368,2.6883004,2.6933737
2004-02-28 14:00:00,23.582382,23.284817,23.455307,23.521273,22.960968,22.77474,22.720934,22.49965,21.524483,23.974941,24.27919,24.62716,24.885695,25.030472,24.788485,24.999048,25.006203,25.253687,24.622698,24.360323,24.242237,24.501945,24.746168,24.933922,24.820343,24.65301,24.623114,25.135387,24.982132,25.061453,25.00357,25.868275,24.503103,23.782999,25.312227,23.92768,23.735754,23.686626,22.938913,251.1951,346.62094,257.4956,284.7114,818.5956,337.92615,1770.3926,559.45685,1283.5243,316.44638,559.0911,456.77563,922.16736,1534.539,886.08,229.82883,551.6975,1628.4594,1003.09393,575.6485,519.68,1090.0547,773.29065,650.9333,646.7454,814.9527,322.29053,873.92,983.305,1220.3429,734.80475,1847.36,1065.117,524.51263,1847.36,827.209,679.3184,276.84637,1595.2799,32.48661,34.767094,33.02338,34.01249,34.101974,34.32963,35.095753,35.455677,37.730328,32.233704,31.42545,31.053734,30.183651,30.697273,31.698092,30.382853,30.225315,30.485455,31.627403,31.165161,31.460312,31.504452,33.28071,32.985764,34.23449,30.856918,32.851204,30.79179,30.61406,31.269392,30.564882,31.077305,32.000584,33.923443,31.980463,33.789333,34.06713,34.480637,36.153214,2.738038,2.7094738,2.7251246,2.7070918,2.672534,2.71702,2.7949781,2.7097843,2.6970825,2.7316303,2.7418258,2.7337408,2.7607157,2.745514,2.747923,2.752036,2.7407966,2.7552364,2.7440255,2.7450738,2.7482646,2.739155,2.682022,2.7427564,2.7468238,2.6934612,2.7431886,2.7501125,2.7351263,2.7477436,2.7416213,2.7502077,2.7401915,2.542344,2.7387228,2.7456648,2.7282333,2.701982,2.7122269
2004-02-28 16:00:00,21.890663,22.066687,22.047005,22.075855,21.838749,21.724329,21.683424,21.551086,20.912867,22.634308,22.555866,22.999203,22.73301,22.799377,22.397373,22.97985,22.647266,22.129478,22.2578,21.973177,22.221737,21.949678,22.693773,22.527021,22.848726,22.305017,22.746433,22.663664,22.64601,22.592663,23.048868,22.871754,22.88871,22.565258,22.93786,22.617376,22.790575,22.745436,21.871119,107.668526,195.29784,118.47556,153.53085,343.46667,192.94112,758.727,246.74843,593.96875,182.8084,245.1589,295.75046,320.4651,469.3633,299.16113,113.18875,272.88443,533.7394,363.03726,223.40378,200.31615,308.42,345.20193,214.35011,323.54892,332.35535,210.76096,351.27274,516.079,648.2807,499.6722,1144.9586,500.87308,303.45667,1332.1509,433.16882,340.99377,136.46368,498.33334,35.17206,36.47439,35.26293,36.15724,35.67553,35.600067,36.443344,36.916534,38.644886,34.401592,34.594467,33.797756,33.99185,34.5537,35.946335,34.172523,34.791702,36.088516,35.97856,35.617546,34.86347,35.83685,36.367214,36.83415,37.192844,34.540943,35.501827,34.706154,34.047787,34.48727,33.246265,34.705257,33.849144,35.43399,35.12523,35.638325,35.401875,35.674183,37.791946,2.7216136,2.6976247,2.711142,2.6925383,2.6573775,2.7049656,2.7841375,2.700387,2.685108,2.7181273,2.7246587,2.7176688,2.7410393,2.7233958,2.7092288,2.7324603,2.7176201,2.7237604,2.7211437,2.7197158,2.7278879,2.7126648,2.6598604,2.7190592,2.7283103,2.6681716,2.7245245,2.7284493,2.7105737,2.7236338,2.7229092,2.7230785,2.724938,2.5246682,2.718382,2.731836,2.7221155,2.695727,2.703515
2004-02-28 18:00:00,20.67836,21.04966,20.947115,21.191263,20.898764,20.876318,20.640741,20.625212,19.74038,21.350113,20.920612,21.609598,20.964447,20.853567,20.697134,21.339018,21.022024,20.19678,20.49016,20.061443,20.825153,20.185593,21.211775,20.864906,21.412733,20.516518,21.157808,20.793232,20.296896,19.84097,20.542782,19.98226,20.552725,20.687807,20.414417,20.661037,20.747478,20.642233,19.89259,43.93315,123.588905,49.064713,97.64987,115.707695,102.87111,107.11428,59.634872,168.00125,129.31264,86.69029,235.52002,136.78728,97.20392,114.80745,77.31346,179.9572,109.85768,145.0353,114.42233,100.221275,60.944,172.92302,75.77454,195.18944,180.55243,150.88,114.42119,46.364166,4.4061637,27.075949,4.8649364,1.9861683,2.4128304,2.541541,2.0997128,0.9443709,1.2934119,1.5610639,37.34708,38.250732,37.19938,37.63068,37.34949,37.22652,38.644825,38.895916,41.17443,36.455063,37.30633,36.08839,37.08984,38.176964,39.739197,37.14813,37.935196,40.114048,39.378864,39.309113,37.218716,39.100826,38.73086,39.642265,39.48522,37.7003,38.16842,37.790794,38.473053,39.710762,37.876415,39.76932,37.750004,38.15406,39.479713,38.55448,38.159386,38.936024,40.91793,2.7047882,2.6862786,2.6990995,2.6670694,2.6508632,2.697692,2.7741013,2.6925147,2.5948343,2.702155,2.6735835,2.7012815,2.7200205,2.701081,2.6975439,2.7135475,2.69939,2.7024953,2.7006617,2.6982272,2.7139566,2.6936924,2.647401,2.7005818,2.713296,2.6509972,2.7064028,2.706908,2.6870203,2.6933427,2.69578,2.6945407,2.7014978,2.5026116,2.6935937,2.714001,2.701284,2.6743457,2.6857617
